title,review,date
Giant Lanterns The Lost World,It was the best experience we had today.The whole exhibition takes about 1 hr 30 minutes to enjoy and to see every single creature.  Good for all ages. Absolutely recommending it 100 %.,
First stop in Edinburgh,"Was a great day, literally well worth the money. So much to see, you will not be disappointed. Enough to keep you entertained for the full day.",
brilliant place can tell the animals are looked after well,"amazing place, animals look happy and have lots of space, the zoo itself is on a hill and when getting tickets the staff asked if we needed any help with the distance, this was brilliant as i had recently hurt my foot so we got a free of charge lift to the top of the hill by one of the staff and then could walk down at our leisure, the staff member told us information about the zoo/animals on the journey up too, 5* for this, really made the visit better for me!plus got to see pandas in the uk which is an unreal experience, cannot fault it :)",
Not as good as expected,"Me and my girlfriend both being massive fans of anything to do with animals decided to come to Edinburgh to see the zoo and see the panda's.Luckily we did get to see one of the panda's which was an amazing site to see which we stood and watched for around 30-45minutes.What was a great idea by the zoo was the mobility car that would take you and pick you up. That is unbelievable as this zoo is seriously hilly.The enclosures on the other hand are probably some of the best we have seen in Europe. Absolutely outstanding and no natural.Negatives would be how disappointed we were at the lack of main conservation animals, i.e elephants and giraffes. We are aware giraffes are coming in but to not see elephants in a zoo is bizarre.The lack of aquatic life and reptilians also was a massive shame as zoos should be able to display all things big and small as people come to zoos to see things they don't see everyday.It was nice to see that they done a reptile talk although no reptiles on display. A Australian blue tongue skink and a Honduran milk snake was brought out for people to hold.All in all quite disappointed with the overall  aspect of the zoo and thought honestly it would be a lot better.Thank you to the staff who were very helpful",
"Pandas, koalas and penguins","We saved money by booking tickets on line in advance having checked the weather forecast. We came mainly to see the pandas, which were great. I also managed to take a photo of a koala during the 3 seconds it looked up from it's sleep. The penguins were great, very photogenic. Only 3 chose to come out for the penguin parade. The keepers do stress that it's totally voluntary on the part of the penguins and they don't encourage them with food. We also caught the red pandas during an unexpected bout of activity. We tried to look for the lemurs and highland wild cats a couple of times but didn't see any unfortunately. Nevertheless we had a great day and felt it was well worthwhile.",
Wonderful! - Saw Them All,"Travelled to see the Giant Pandas. Saw both inside and outside enclosures - absolutely beautiful. Couldn't have been better. Saw Penguin Parade. Saw ALL the other animals except one. Sometime you just have to wait a while, or look way up at the exhibit if there are trees - they might not be right in front. We really enjoyed this trip as it was very full of animals. Were worried due to the reviews. Stopped for a quick coffee and that was delicious. Staff were very polite and helpful. Gift shop was great too. Hillside was walkable. Enclosures seemed natural, not ""overgrown"". Bus from train station only took a few minutes. Excellent & only wish we could have spent more time there. It was perfect!!",
Lovely to see some animals that aren't in other zoos,"We went because we wanted to see the pandas.  They were starting work for the lantern festival in November but that wasn't yet open so there was some works going on where we had to take detours.  Looks like that will be a lovely experience when it opens.  There is lots of walking up and down hills in this zoo, which I don't mind, but then maps become hard to read and you end up missing some animals as they are higgeldy piggeldy.  The outside area for the pandas is wonderful, so much space, but unfortunately our trek there was unsuccessful as they were both inside.  The glass was so reflective all we could see was people's reflections until we put a camera to the glass and took a picture.  This needs to be thought out a bit better.  A bit disappointed with the penguin walk as only two penguins decided to do the walk.  I am glad they're not forced to do it, but would have liked to see more.  Loved the bird feeding, not bad for £1.  Our own food was limited, and expensive for what it was although very tasty soup.",
Great...hilly...,"Great zoo on a massive hill side. If you're unsteady on your feet, take one of the zoo's scooters to get up the hill.",
Great day out.,"Absolutely love coming to visit Edinburgh Zoo. Great to see the Pandas in new enclosures too. The keepers are very friendly, approachable and knowledgeable. All in all a lovely experience. Just one thing that possibly lets it down is the staff in the cafe. Rude is as polite as I can say on here. One guy in particular who served at the till. He was horrible to the ladies in front of me, then walked of as soon as my payment went through. I said excuse me could I have the receipt and also my sandwich toasted (as that's what it was meant to be) and he just said go and moved my things along the counter and served the couple that came up behind me. I managed to eat some of the sandwich but wish I had gone to the restaurant opposite and paid double.",
Giant Pandas only ones in the Uk,Fantastic place plenty too see. I loved Penguin rock so many different species of penguin. My granddaughter thought the sun bathing ones were fake until it jumped up at her. Great day out we seen the lion cubs and the Giant pandas were very lively,
Wonderful!,"Had such a lovely day today at Edinburgh Zoo. It’s clear to see the animals are very looked after and the keepers are so knowledgeable and  passionate about conservation and sustainability. Instead of just filling us with lots of facts, additionally the keepers speak about the very real events happening currently and how they are affecting the future of a lot of species. The money we spend on tickets goes into keeping those animals safe and looked after. The zoo even has a dove which they have bred successfully which is extinct in the wild. It was well worth the rainy day, get the 26 Lothian bus to the zoo. I loved getting to see a panda and the tiger is absolutely stunning.",
Wouldn't recommend,"I used to love Edinburgh Zoo but it has went down hill in the last 10 years. Alot of empty spaces and over grown areas that yes maybe leaving for bees and insects but it's just very messy. You can have overgrown areas but this has been delivered poorly. It is on a hill but that I'm not bothered about but the layout and poor signage it has no flow can easy miss bits if you don't have a map to hand. Lots of kiosks around but were all closed. Couldn't get into one place as had to have a reservation apparently. Other place was basic but expensive. I just find it so overpriced for what you get. Five sisters Zoo, West Calder near Livingston is far better and way more fun for kids.",
Still great,Went here when I was a kid. Better conditions than 30 years ago. Highlight was always the penguin walk. I remember 100’s but only 2 took the stroll when we went.Pandas are cool.Lorikeets (small parrots) are great fun. £1 for a small pot of nectar which you hold and they land on your arm and feed.#26 bus from the city drops you outside.,
Go to see the Penguins!!!!!!!,Great zoo but be prepared for a good cardio workout. It is the only zoo I have visited that is on the side of a hill. You will be walking up and down from exhibit to exhibit. They do provide shuttle service for those that may have difficulties on the walk. A must has to be the Penguin walk!! You must be prepared with your cell phone camera for this amazing march.,
Great day out,"Great day out at Edinburgh Zoo. Buy your tickets in advance for  a discount, plus a much shorter entry queue. This is a really well set out zoo with a great variety of animals.  There are Pandas and Koalas that are unmissable. Lots of talks by the keepers, the rhinos were so interesting and quite tame, and the keeper explained a lot about the work the zoo does.  The penguin parade was hilarious, and very entertaining.  On a practical note, the bus stops right outside the zoo. Good coffee and cakes available at reasonable prices, and plenty of picnic spots.  The shop was reasonable too with more than just the usual plastic rubbish, some really nice books for example.  All the staff were approachable and friendly and seemed genuinely pleased to meet the public and promote the work of the zoo",
Pandas on view...,"Decent parking facilities and easy to find, this hilly zoo provides good walking apart from many different animals/birds to view.Educational, interesting, the main point for our visit was to see the pandas, and one was on view albeit, asleep.Good facilities for most of the animals and primates after all this is a zoo and as hard as it is for me personally to visit a zoo and because I have seen all of this mammals/animals in the wild(apart from the pandas), my friends enjoyed the visit.Zoo's are still needed for educational purpose and for most people and especially children their only chance to see such animals interacting with each other.The penguin talk was very interesting and the staff do a valiant vocational job.A good visit but with mixed feelings...",
So much fun,"We had a great time. We were pleased with the enclosures. Was a bit worried about the sun bears pacing but that ended up to be excitement as they were being let outside. Their outside enclosure had so much enrichment. We ate at one of the restaurant and the food was great, especially the hot chocolate which was the best I’d have. The penguin walk was so lovely. I also loved the Chimp enclosures.",
Great day out,"Visited the zoo on a cold, wet day with my husband and 13 year old son. We all had a brilliant time. We saw lots of different animals and yes some enclosures were empty but considering the weather we were expecting that! The penguins were lovely to watch but our absolute favourites were the pandas!! We were lucky that they were both in their indoor homes and were active while we were there. We stood watching them for ages. The zoo is very spaced out so be prepared for lots of walking, a lot of it up hill. We had lunch at the penguin cafe which was nice if a little expensive. We would love to return.",
Can not recommend the zoo especially for the  disabled or elderly.,"I took my family of 12 to the zoo last week, whilst visiting edinburgh. I checked before hand about mobility issues and was informed that although built-on a steep hill there was motorised scooters available, we arrived at opening time, and was offered transport instead of the use of a scooter, we just had to phone a nunber. We asked for transport for three of us , and was told ten minutes, twenty minutes later a grumpy chap arrived in a car and said he only had room for two of us, my 90 year old mother and disabled daughter went in the car and I had to walk,  being a pensioner who walks with a crutch, it was not the response I had expected. The walk was difficult as I had to try and do it at speed as the rest of my party was already at the panda house. I was left in pain and exhausted and the rest of the day was spoilt. The pandas were unfortunately not to be seen, but that's life! Sadly I can not recommend the zoo and certainly not their disabled policys. An expensive day out for us. The zoo keeper in the koala house was lovely, as was the stuff in grasslands.",
A Great Zoo,"We, family with two kids, went to visit Edinburgh Zoo first for penguins, but also for many other beautiful animals. We were not dissapointed, the day at the zoo was wonderful. The zoo is well maintained and offers good settings to observe the animals, and additionally many special events during the day.",
Great visit,"We visited the zoo today, we started at the top (and when I say the top it’s all uphill) and worked our way back down. The zoo itself is very clean and the facilities are brilliant. We saw everything we wanted to but I think we may have visited at the wrong time of year as some of the animals weren’t out but that was fine as the colder is starting to set in. Still good value for money and we spent approximately 5 hours walking around. The map of the zoo is very helpful and easy to follow. Would visit again if coming back to Edinburgh",
Pandas,The only place to see pandas and Koalas in the UK. They were so amazing to see and we loved seeing them. The zoo is on a hill so can get quite tiring at times.,
Someone must ahve told the animals we were coming - what a show!,"Living in Chester we're rather spoiled for zoo content but we had a fabulous visit to Edinburgh Zoo.  Although significantly smaller than Chester and hilly (so not very buggy or wheelchair friendly) this is a great place to visit.  The staff at reception were eager to ensure that any problems we might have had accessing the zoo could be taken catered for.  The signage is very clear and the enclosures very environmentally rich for the animals.  Panda viewing is great and like all the other animals, done in a way that is sensitive to the animal's needs primarily - even if it does mean the koala's were able to hide very effectively in the leaves! The penguins especially are a hoot!Bit of trek out of the city but well served by public transport and the £1.70 fare for any distance is great value. If you're in Edinburgh for more than a coupe of days or are an animal lover, it's a great option",
"Shabby, not many animals....","We visited Edinburgh zoo on an October afternoon. They animals were few and far between. There were many areas where here was nothing to see at all. Lots of money seems to have been spent on plastic dinosaurs and fake cactus but the animals were sadly depleted. There was one koala, 2 zebra, one tiger and a panda that we saw. The whole place is tatty. The dining areas were filthy! Food all over the floor and I mean ALL over the floor. It’s a very steep walk to see everything(or not as the case may be!). We were fit and able to do it with no problem it if you have any mobility issues give it a wide berth.",
Won't be back,"The price to get in is pretty expensive considering how bad the park is. There is hardly any animals there and what there was, there was only one of each. Alot of them looked really depressed. Especially the koalas, DONT buy food there, honestly the worst food I've ever tasted and you'll save yourself a fortune.",
Never buy the food,"Was a nice walk around ,best part was the penguins ,alot of enclosures no animals to be seen or too far away, please never waste your money in food place !! We got burger chips and a kids dog and chips and 2 drinks £21 50!!! My burger was cold and resembled squashed dog food and my daughters hot dog was rock hard we had a bite out of each and left them and ate just a few chips , absolutely worst food I've ever had in my life , had fast food at venues before but never anything this dire , take packed lunch and save yourself money and being left hungry ! We were only here 2 and half hours so not really worth price but hey we tried it but wont be back",
Mixed feelings,"This was a place that I've wanted to visit for some time, and a recent meeting gave me the chance, but came away with mixed feelings.Entrance fee was a little high and have been to better zoos for less.Everything was explained,with talk times highlighted during the day. It must be noted it is built on a hill, but help is available for access to higher places.Certain animals were a little shy or sleeping, but got to see the main attraction,the Pandas. The viewing glass is poor and reflections make visibility patchy to a number of exhibits, and a few enclosures closed.I know it's not the height of the season but the day was fine, not to busy, and got to see most of the exibits.Great play areas for the kids, maybe bring a picnic.A reasonable 5 hours to cover everything.",
What a great day out,Before I start about the animals I thought it best to stress that the zoo is on a hill and so anyone with walking difficulties may struggle as in parts it is quite steep. I think you can get wheelchair assistance if you mention it to the staff when buying tickets.  Anyway onto the zoo and animals....as I have said the zoo is on a hill so could be quite challenging for some people but is a very nice walk especially when the sun is shining. All the animals were up and about and in the main were very photogenic. We struggled with the panda to start with but with a little bit of patience he soon began to show off!  It took us just over 4 hours to see all the animals and watch the penguin parade which is really cute.  The penguin cafe served some really nice lentil soup which was reasonably priced and the coffee was good too. All in all a really good day out.,
Day at the zoo,"Took my wife and 2 girls to the zoo along with my son and his girlfriend, we spent all day there and it was brilliant. The animals were active and looked really happy, our favourites were the penguins and the gibbons.All round the zoo experience was amazing, the animals were amazing and myself and the family had a truly wonderful time.",
Great Zoo,Had a great day when I visited Edinburgh Zoo with my daughters who are both in their twenties. The weather was beautiful and we saw most of the animals. It was a treat to see both pandas and koala bears and the penguin enclosure is second to none. The only downside is it's very hilly and there are a lot of steps but that wasn't a problem for us. Unfortunately we didn't get to see the new lion cubs but hopefully next time I visit in the summer they'll be out.,
Family day out,Good zoo and couldn’t wait to see the panda 🐼But a really poor viewing area.Also this zoo is built into a hillside so the whole attraction is up hill from the entrance....Chester zoo is still my fave.,
Great Adventure,"Great day out, lots of hills but that wasn’t a problem for us. We got to see the Pandas in their indoor enclosures and the Koala bears were adorable. We enjoyed the penguin parade, the keeper was very entertaining. Had lunch in the Grasslands restaurant, food and service was good. Saw the Lions without their cubs despite being told beforehand they were not on display! The only negative was that the glass into some of the enclosures was very poor in the sun.",
A bit depressive,"We went here whilst staying in Edinburgh as a small family. This was our last stop before a 5 hour drive, so we were hoping this would give us all a bit of energy and excitement. However, all the enclosures were cages and just looked awful. They could've themed the cages or tried to make them look nicer. The animals did not look happy at all (compared to another zoo we've been to). We left after 30 minutes and would not recommend, however, there was a nice view. Just a point to note its built on a hill, a lot of inclines so be ready for that.",
A day out at the zoo !,A great day out at the zoo. Arrived and queues up to get in as soon as it opened. Both kids have Blue Peter badges so got in for free - result. Adult tickets around £20. Car parking available on a first come/ first services basis. A spread out zoo which was reasonably easy to get around. It’s on quite a steep hill so hard work if you had mobility issues or a heavy buggy. The staff were very helpful. A few of the enclosures were closed for maintainence. Lots of areas to have a picnic. We are in the cafe which was expensive for what it was but reasonably standard.,
Wonderful day out,Came to see the pandas but loved the whole place. Great range of staff. The walk around is good with everything given room but don’t feel it’s too spread out like other zoos. The staff were informative and friendly.,
Unforgettable Experience!,We came here purely for the giant panda’s and everything else is such a bonus (especially the Penguin walkthrough)! Quite hilly which is to be expected in Edinburgh but lots of resting spots and beautiful animals to see! Definitely a must visit if you’re in the area as we would most certainly return for more visits! We spent a good hour in the Panda area just admiring them!!,
Great Zoo who clearly cares about their animals! Great talks and guides,"When we visited the zoo appeared quiet. The weather was luckily nice for October which allowed us to walk around without in the indoor closures being cramped.The Zoo is well spread out over a lot of land which requires a lot of walking sometimes on steep hills so would recommend comfortable footwear. However, we felt this broke up large crowds and allowed sufficient time to view each enclosure.Throughout the day there are great talks about different animals which gives you the impression the keepers genuinely care about each animal and their future. We heard a lot of guest saying the animals are 'boring' and 'just sleeping in their enclosures' but a lot of the animal are there to prevent extinction not just to entertain people and to be fair it was cold and windy so I don't blame them! A lot of the talks explained why they no longer feed the animals at set talk times when the public are present - which makes alot of sense!The Penguin walk was very good and the window where you can see them swim was also very good! We only managed to see one of the panda's as they came out of their enclosure about lunch time to snack on some fruit and salad.We were unfortunate to go when the lion enclosure was closed due to new cubs but we completely understand why!All the Zoo Keepers were friendly and always on hand to answer any questions.The only negatives are the £4 parking fee and the viewing windows at the panda's as it was very difficult to see in as all you can see is the trees and sky in the reflection.",
Giant Pandas in the UK,The obvious appeal for Edinburgh Zoo are the Giant Pandas and rightly so. The Pandas themselves are very lazy beats and I'm not sure I seen them move on our visit. It is one of the more expensive Zoos I have visited but still made for a nice day out,
No Pandas!,"Travelled to Edinburgh purely to visit the zoo as I'm a major animal lover.We live near Chester Zoo and visit quite often, and in comparison this zoo isn't as big or have as many animals but the price reflects that.Entrance is a bit hidden from view, we assumed we'd accidentally turned in the hotel carpark but turns out it was the zoo after all.Managed to see most animals, except the lions who are off view as she has just had her babies, warthogs and pandas.Pandas was however because of poor designing of the enclosure. You cannot see through the large glass windows due to the reflections. I could see a panda ear when someone stood blocking the sun from the window but apart from that everyone walked away having seen nothing. I understand animals need their privacy but this just needs a sun shade putting up and it'd be fantastic. Lot of money has gone into the enclosure, but it's all for nothing if we can't see anything.We were done and back in the car just under 4hrs which I expected so if you're after a full day's activity this isn't it.",
This whole zoo needs a revamp !,"I am aware the zoo is making some changes however they failed to mention this when I was booking the tickets ! Which would’ve been nice to know ! Felt extremely disappointed when arriving here and actually questioning what I had paid for ? The older enclosures were run down and you could barely get a good view of the animals... as for some of the new ones such as the pandas they were behind a pane of glass which was in the reflection of the sun so you couldn’t even see the pandas, you’d be lucky enough if you did! As well as this both the lions and the tigers were not on display again wasn’t notified about this which is disappointing as you’re paying to see animals and I barely saw any ! The food at the restaurant was extortionate, which was predicted but is it necessary to charge ridiculous amounts after what we paid to get in! If you’re planning to visit bring your own food. There were some highlights to the day such as the brilliant birds were... well brilliant!! You could buy a tub of food for £1 and the birds would come and sit on you which was a lovely experience and also the talk on the one horned rhino was good you can see the rhinos up close and personal !",
First visit in a long time,First visit in a long time. There have been a lot of updates to enclosures which are great improvements.,
A good day out.,"The Giant Panda enclosure was disappointing as it was difficult to see the pandas through the glass, as this is a main attraction and the zoo is the only place in the UK you can see them there should be a way to guarantee that you can see through the glass. I did manage to get a photo by using the map provided to block out the sun.There is a lot to see and informative talks by the staff on the different animals. Just be prepared that you may not see all you want to see",
Average at best,"Some of the enclosures are really good but a lot of the older ones (nearer the entrance) appear to be in need of serious work. There are various paths closed and some enclosures ‘closed due to essential maintenance’ - we went on a week day and the only maintenance that was going on across the entire site was the odd bit of gardening in the public areas. The penguin enclosure is still as good as it was when I last visited 21 years ago. The main purpose of the visit however was to see the Pandas. What a joke that was. The new enclosures look great for them but one of the pandas was nowhere to be seen either inside or out, and the other was asleep inside. That’s fair play BUT the viewing windows into the houses - why the hell hasn’t the zoo used non-reflective glass? All you can see is reflections of the trees and daylight - irrespective of the time of day (we tried to see them at 3 different times of day during the trip). There are huge planters under the viewing windows designed to keep people away from the windows, so unless you’re tall enough (6ft or so) to lean over these to put your hands over the glass to get a half-decent view, I honestly wouldn’t bother trying to see them if they are inside. My other main gripe was the jungle cafe - £9 for a salad?! Are you guys for real? The baguettes aren’t much better - there was 3 salad leaves, 3 super thin slices of tomato and a slice of ham - and for that, it was the best part of a fiver.",
Enjoyable,"Was so big and amazing. Go at your own speed and take your time. Was lovely to see the animals, and some that I've never seen before close il untill now. Was a very enjoyable day",
Disappointing,"October, it was breezy and quite cold.I think (hope) that may be the reason that many of the animals were no where to be seen, neither inside or outside their enclosures.The lions were out of bounds due to a young cub which was totally reasonable but where was the Rhino for example, and many others.The two Pandas have been moved to new enclosures. Why oh why did they not use non reflective glass to the viewing areas. One Panda was asleep on a ledge to the side of the enclosure but due to the reflections in the glass all you could see was the trees, and the people peering in trying to see it. Photographs were impossible. There was a lot of disappointed people and a lot of grumbles.It's not a cheap place to visit, £18 adult, £9 child, and it's another £4 to park your car.Many of the animals and birds seem to be solitary exhibits, whether that's because they don't like company or not isn't always clear but many looked miserable.On the plus side, the penquins area is good although once again non reflective glass on the underwater viewing would have been a bonus, the pelicans and flamingos were also good to see.The Koala enclosure was a pleasure and the lady explaining the life of the Koala and the history of the ones there was really good and educational. A mention too for the attendant at the Red Panda enclosure who explained about their way of life and the new born who was about to make an appearance. Two highlights of the day.",
It's a bit hilly,So i visited here a while a go but never reviewed it!What a great zoo! We visited this time last year when the lanterns where on. We didn't see the lanterns but they was set up and they even looked great in the day!It's not for the faint hearted if walking isn't your thing. The zoo goes up a...well mountain really. It's no hill. My poor nan couldn't see half of the zoo because she couldn't get to it.Obviously it's all paved but it's rather steep!Overall it's reasonably priced for a zoo and we really enjoyed it,
Lacking,"We visited 12th Oct for youngest daughter's 7th birthday treat.There seemed to be a lot of animals missing from when we last came around 4 yrs ago..lions weren't on display, no giraffes, lots of empty enclosures. The penguins were as entertaining as ever and probably save the zoos reputation as being a decent family attraction and we did see one of the pandas.We weighed up our disappointment against fact that we'd visited Chester Zoo last autumn and might have been unfairly comparing them as different sites/objectives etc but this should be reflected in the ticket price at least..Chester was £12 more for our family of 5 and was 5* compared to  giving Edinburgh a generous 2* yesterday.The biggest disappointment was The Jungle Court canteen. 2 plain hotdogs, 1 portion chips, 1 ""falafel burger"" (cheap white bread roll with 4 mini falafel balls laid on, no salad, no sauce, no extras £5.95) 3 bottles 500ml pop and 2 small slushies (all ice no flavour) to take out came to £35.00!!! I regret paying this and really wish I'd gone back to complain..if the food justified this cost I'd have no issues but should have come to no more than £20 when comparing with other outlets.We've always loved visiting Edinburgh zoo and it still retains it's special ambience but really hope it ups it's game again soon.",
"Fantastic zoo, even without the pandas......","Great place, so much to see, and it is remarkable just how close you can get to the animals. The much heralded pandas were a disappointment, a long trek up the hill to the top of the park, only to find an enclosure with glass so reflective that it was extremely difficult to see the occupant, I was not the only disappointed visitor. However, the rest of the park was wonderful. The rhinos, red pandas and penguins a particular highlight. The staff we dealt with were very friendly. Buses from Princes Street very regular.",
Enjoyable visit,"We were welcomed by meerkats, watched researchers reward a chimpanzee that was using a large touchscreen to get snacks, climbed to the top of the hill and saw a splendid view of the Pentland Hills. The underwater view of penguins swimming was amazing! The pandas were hiding, but I appreciated that the zoo was animal-friendly over always being people-pleasing. We enjoyed lunch in the Penguin Cafe (especially the penguin cut-out cookie/biscuit). Our 21 month old grandson might have found most joy in running on the paths linking the exhibits—safe freedom.",
A day at the zoo,We went to Edinburgh last weekend and made a visit to the zoo to see the Panda’s and the other animals . The day was overshadowed by drizzle but enjoyed the experience and got a good picture of a panda.Conservation is key now to protect all species and there great work is showing dividends.If you get the chance go the penguins and wait for the parade the closest you will ever get !!,
Worst zoo I've been to,"Went to the zoo today and safe to say was the worst I have ever visited, and I have been to a few. First of all get there and told the tiger enclosure was closed due to having cups, which I think fair enough that is understandable. Anyway after walking around pretty much every was closed for refurbishment, yet no one was working anywhere. Wouldn't recommend to anyone, I'd see more wildlife walking around pets at home.",
Lovely day out,"Edinburgh zoo is such a lovely day out, loads to see and do, it does involve a lot of uphill climbing though. Pandas are certainly a highlight to visiting. Even on days its raining it is still lovely to walk round. The food outlets are expensive so recommend taking your own food and even more so if you are Coeliac like me as very little gluten free food on offer.",
Friday visit,Loved it! Fantastic lay out to the zoo which makes the experience feel much more intimate. The keepers/guides are passionate and knowledgeable and the day was very enjoyable.Loved the hippos! Just wish we could have stayed longer,
Zoo,What an amazing day out the variety of animals and the penguins walk is super cute.  I would recommend wearing trainers as it's all up hill. You can take a picnic we did. But the shop was really expensive.  But all in an amazing day out,
Edinburgh Zoo,Kids loved it.Been there many times and if you like walking you will love this.You need to be there early as car park gets really busy and traffic gets really busy at peak times,
Birthday visit,"First thing, this zoo is steep! Anyone with mobility problems would struggle with the gradiant. Lots of steps as well. Highlights of the day were the Giant Pandas and the Koalas, due to their uniqueness in British Zoos. Staff and Zookeepers were all very friendly, especially the lady on the car park. Giving out a free bumper sticker for the car park ticket a good idea. Plenty of talks for people wanting to find out more about various animals. Cafe prices quite expensive. Overall, average day out, but no more than that.....",
A long awaited trip.,"Lovely zoo, lots to see and do. Make sure when visiting that you visit the pandas and stick around for the penguin March",
Very average,"Been to many zoo's over the years. this is pretty poor really, not many animals on show, Panda's were in hiding, Lions had just had cubs apparently, so were not allowed to see them. Walking was very hilly, wouldn't recommend this place.",
A Great Family Day Out,"We took our 16 & 17 year old sons and everyone thoroughly enjoyed the visit. I was apprehensive having seen some of the negative reviews, but we were not disappointed.The Zoo is very well maintained and the staff were very welcoming.There is a wide variety of animals and seeing the Panda, Koalas and Red Panders made our visit. I say Panda, as we saw Yuan Guang, but not his female companion.  The Keeper did mention that the Panders were more active at about 3.30pm and we were there for the morning.The Penguin area is the best I have seen. There is a variety of breeds and you can spend a considerable amount of time just watching them. Such characters.Part of the novelty is the Zoo is built on a hill. The views of Edinburgh were amazing.We travelled 342 miles and the visit fulfilled all expectations.",
Excellent,Unbelievable place and only zoo in uk with resident pandas. Well worth the visit but zoo is based on a hill so some up hill walking needed but worth the walk to see the animals that all looked well looked after.,
Great Zoo,"This is my second time visiting the Zoo.  I was with the whole family and it was all their first time.  I booked the tickets in advance to save a little money since we were a rather large group (7).  Getting to the zoo from the city centre was very easy with just one bus to get and a few stops.  When we arrived we were welcomed by the staff who were very friendly and informed us about the things happening at the zoo that day (for example that the lions would not be on show since they had just had some lion cubs born and were still too young to be outside - all of this was already on the website so we knew about it from before).  I would suggest getting very comfortable walking shoes as it is mostly uphill (they do offer a van service to take you to the top of the hill).  The animals themselves were a lot of fun to see.  As with all zoos some of the animals could not be seen as they would either be inside resting or just difficult to find, but we managed to see all the ones we were really looking forward to seeing (except the tiger which other visitors were seeing but we couldn't make it out).  The zoo map is very easy to read and helps you the plan your journey throughout the zoo.  It is not the largest zoo so there aren't very many large animals (like elephants, etc) but all this info can be found on the zoo website which is very well made and informative.  Would definitely recommend for a fun day out.",
"Amazing Zoo, great conservation work!","Visited here worried about the stereotypes of zoos not looking after animals properly but found this was totally not the case at Edinburgh zoo! After reading the signs and going to the various talks around, it’s obvious that the staff love these animals and that they prioritise the animals welfare over anything else and I think that’s amazing. It might mean you need to spend more time trying to spot the animals, but that’s fine. They also do amazing conservation work and it’s great to know the ticket price is funding so many incredible projects!We went hoping to see different animals that we wouldn’t get to see anywhere else and we were not disappointed either. Sun bears, cassowary, chimpanzees, rhinos and pigmy hippos to name a few! The penguin enclosure is also very impressive. I loved being able to immerse yourself with some of the ‘walkthrough’ enclosures, a personal highlight being the lemurs.Staff were also lovely. After twisting my ankle, I needed to call the mobility assistance vehicle to help get me to the top of the hill (which is free). Our driver, Ruairidh, was very friendly and answered all our stupid questions as he drove us up.The zoo is on a steep hill, but they do offer an assistance car if you need it, as I mentioned before.",
Gone downhill,"Its quite a few years since my last visit but no elephants, no polar bears, no giraffe. Not as young as I used to be so I do notice the steep hills more. Some areas are not accessible by wheelchair (available for hire - £10 refundable deposit) but there is a free shuttle bus on call that will take you up to the top and back if required; it was wet and cool and quiet when we were there and we still had to wait 20 minutes so i guess longer at peak times",
Edinburgh zoo,Went to zoo with kids all exited to see the animals.Many areas empty and overgrown with no animals very poor overall experience. Afraid won’t be back.,
Worth a visit,"When you pay they tell you it’s a hilly site, they’re not lying so if you have limited mobility beware. I think we were a tad unlucky, many of the animals weren’t out to see but having said that we did see the pandas, koalas and a tiger. I would thoroughly recommend a visit to penguin rock with the emperor, rock hopper and gentoo penguins - they are so coooool!",
Nice zoo with animals you don't see often,I had to see this zoo because of the red panda's and the koala's and the giant panda's those are animals you don't see often in the zoo.... It might be an older zo bit they are busy with renovations and new enclosures. I loved seeing those animals and the zoo is situated on the hillside so you also have a nice view now and then. You do need to climb so you should wear good shoes and be able to do so. I also loved that the lions were not shown because they recently had cubs... Shows me that they are trying to take the best care possible for the animals.,
Lovely Walk Amongst The Animals,"First warning, the zoo is on the side of a steep hill and you start at the bottom, so be prepared for exercise. There is a shuttle car to assist those who need it to the top. We are fortunate to be in good health, so enjoyed the walk up and down the hill.There were plenty of animals to see in enclosures that all seemed to be of a size to suit the animal. The penguin pool is brilliant  with the birds almost walking and swimming amongst us.Our timing coincided with the birth of the zoo's lion cubs, so access to the big cat area was restricted to stop the mother being distressed, but this didn't limit our enjoyment of the other animals. Sadly, though, the giant pandas were not co-operating. The female was being given quiet time and the male decided to hide away completely, so one of the main reasons for going to this zoo was not to be seen.We did see the male red panda, which was a delight after going to many other zoos where the red pandas were as elusive as the giant pandas here. You are able to walk among many of the animals, such as lemurs, wallabies and monkeys.There is a wide choice of eateries, from full restaurant to snack bars.The staff are very helpful and informative and keen to talk about their animals.Edinburgh zoo is well worth the visit.",
A little disappointed,"We visited with our little boy hoping to see lots of animals, the weather was great so we were lucky.On arrival- £4 to park your car. Absolutely extortionate, as once you’re in that’s it, you have to pay.On arrival to buy tickets, there’s a hidden fee that is voluntary. Given the price of the tickets and the car parking charge we were unwilling to pay any extra.The zoo itself if very hilly and the signposting isn’t great.Pandas behind Perspex screen which glares terribly so you can’t actually see ok in the daylight! Absolutely ridiculous.The apes were amazing however, highlight for us.All in all, we enjoyed it but I wouldn’t say it’s worth nearly £20 pp.",
